ens_gid,feature_is_filtered,feature_name,feature_reference,feature_biotype,mean_expression,mean_log_expression
ENSG00000243485,TRUE,MIR1302-2HG,NCBITaxon:9606,gene,0,0
ENSG00000237613,TRUE,FAM138A,NCBITaxon:9606,gene,0,0
ENSG00000186092,TRUE,OR4F5,NCBITaxon:9606,gene,0,0
ENSG00000238009,FALSE,RP11-34P13.7,NCBITaxon:9606,gene,0.0014404300790691936,0.0010096509707923456
ENSG00000239945,TRUE,RP11-34P13.8,NCBITaxon:9606,gene,0,0
ENSG00000239906,TRUE,RP11-34P13.14,NCBITaxon:9606,gene,0,0
ENSG00000241599,TRUE,RP11-34P13.9,NCBITaxon:9606,gene,0,0
ENSG00000236601,TRUE,RP4-669L17.2,NCBITaxon:9606,gene,0,0
ENSG00000284733,TRUE,OR4F29,NCBITaxon:9606,gene,0,0
ENSG00000235146,TRUE,RP5-857K21.2,NCBITaxon:9606,gene,0,0
ENSG00000284662,TRUE,OR4F16,NCBITaxon:9606,gene,0,0
ENSG00000229905,TRUE,RP11-206L10.4,NCBITaxon:9606,gene,0,0
ENSG00000237491,FALSE,LINC01409,NCBITaxon:9606,gene,0.035795988969397646,0.024911537468179305
ENSG00000177757,FALSE,FAM87B,NCBITaxon:9606,gene,0.0017584266281155008,0.0012704794190406446
ENSG00000225880,FALSE,LINC00115,NCBITaxon:9606,gene,0.018199238446407143,0.012819989337456301
ENSG00000230368,FALSE,FAM41C,NCBITaxon:9606,gene,0.022041263483071692,0.016094793858459397
ENSG00000272438,TRUE,RP11-54O7.16,NCBITaxon:9606,gene,0,0
ENSG00000230699,FALSE,RP11-54O7.1,NCBITaxon:9606,gene,4.357137540538674e-4,3.1557832047116144e-4
ENSG00000241180,TRUE,RP11-54O7.2,NCBITaxon:9606,gene,0,0
ENSG00000223764,FALSE,LINC02593,NCBITaxon:9606,gene,5.319217179517804e-4,3.520867722458467e-4
ENSG00000187634,FALSE,SAMD11,NCBITaxon:9606,gene,0.0056922824544186155,0.0037876463988394103
ENSG00000188976,FALSE,NOC2L,NCBITaxon:9606,gene,0.13292472079656698,0.09251865786886562
ENSG00000187961,FALSE,KLHL17,NCBITaxon:9606,gene,0.0190838325495095,0.013022919988243321
ENSG00000187583,FALSE,PLEKHN1,NCBITaxon:9606,gene,0.010368408950244098,0.007503894178416643
ENSG00000187642,FALSE,PERM1,NCBITaxon:9606,gene,0.006497344064654605,0.0048496483128227285
ENSG00000272512,FALSE,RP11-54O7.17,NCBITaxon:9606,gene,0.016977350587652436,0.011702282019751932
ENSG00000188290,FALSE,HES4,NCBITaxon:9606,gene,0.41186116389358574,0.26124860491152346
ENSG00000187608,FALSE,ISG15,NCBITaxon:9606,gene,0.6336982305376033,0.36688590461109627
ENSG00000224969,FALSE,RP11-54O7.11,NCBITaxon:9606,gene,3.524408673379591e-4,2.4402059721299513e-4
ENSG00000188157,FALSE,AGRN,NCBITaxon:9606,gene,0.09781318840277858,0.0690721024591074
ENSG00000273443,FALSE,RP11-54O7.18,NCBITaxon:9606,gene,2.892083972165947e-4,1.8980634277800592e-4
ENSG00000237330,FALSE,RNF223,NCBITaxon:9606,gene,0.05159334470562595,0.03553312211058517
ENSG00000131591,FALSE,C1orf159,NCBITaxon:9606,gene,0.031257796416492595,0.02225902732322596
ENSG00000223823,TRUE,LINC01342,NCBITaxon:9606,gene,0,0
ENSG00000272141,FALSE,RP11-465B22.8,NCBITaxon:9606,gene,0.009738425933650156,0.007280174198137755
ENSG00000205231,FALSE,TTLL10-AS1,NCBITaxon:9606,gene,0.002195041418895464,0.0015397642240027258
ENSG00000162571,FALSE,TTLL10,NCBITaxon:9606,gene,0.01663728608034743,0.011909897300088755
ENSG00000186891,FALSE,TNFRSF18,NCBITaxon:9606,gene,0.07686390496784767,0.04757222744493858
ENSG00000186827,FALSE,TNFRSF4,NCBITaxon:9606,gene,0.15936472978779517,0.09917247851638965
ENSG00000078808,FALSE,SDF4,NCBITaxon:9606,gene,0.31246948591868334,0.20805650676712506
ENSG00000176022,FALSE,B3GALT6,NCBITaxon:9606,gene,0.07658206988812426,0.05380112454896636
ENSG00000184163,FALSE,C1QTNF12,NCBITaxon:9606,gene,0.026700333286883524,0.01847524998644081
ENSG00000260179,FALSE,RP5-902P8.12,NCBITaxon:9606,gene,4.967002288364569e-4,3.4011072976786796e-4
ENSG00000160087,FALSE,UBE2J2,NCBITaxon:9606,gene,0.18647825571504817,0.1273033532671282
ENSG00000230415,FALSE,LINC01786,NCBITaxon:9606,gene,3.0401359974645953e-4,2.1249614771848976e-4
ENSG00000162572,FALSE,SCNN1D,NCBITaxon:9606,gene,0.011585577578903945,0.008049437230522866
ENSG00000131584,FALSE,ACAP3,NCBITaxon:9606,gene,0.08170411214190133,0.055993562901930666
ENSG00000169972,FALSE,PUSL1,NCBITaxon:9606,gene,0.05974512179755897,0.04230599521196964
ENSG00000127054,FALSE,INTS11,NCBITaxon:9606,gene,0.17719296343222163,0.12195709926165955
ENSG00000224051,FALSE,CPTP,NCBITaxon:9606,gene,0.07919345389588998,0.055670484097329415
ENSG00000169962,FALSE,TAS1R3,NCBITaxon:9606,gene,0.0012697547157979085,8.850489807480293e-4
ENSG00000107404,FALSE,DVL1,NCBITaxon:9606,gene,0.07890333300987648,0.055447789486580724
ENSG00000162576,FALSE,MXRA8,NCBITaxon:9606,gene,0.2193744462166792,0.12586059611400124
ENSG00000175756,FALSE,AURKAIP1,NCBITaxon:9606,gene,0.6708678157082423,0.4282308088496741
ENSG00000221978,FALSE,CCNL2,NCBITaxon:9606,gene,0.30221491887933233,0.1999158373768435
ENSG00000242485,FALSE,MRPL20,NCBITaxon:9606,gene,0.48498683937052844,0.3187658403142636
ENSG00000272455,FALSE,MRPL20-DT,NCBITaxon:9606,gene,0.0040592233580337336,0.0029518516207266785
ENSG00000235098,FALSE,ANKRD65,NCBITaxon:9606,gene,0.06542016039068864,0.04425642940157553
ENSG00000225905,TRUE,RP4-758J18.7,NCBITaxon:9606,gene,0,0
ENSG00000205116,TRUE,TMEM88B,NCBITaxon:9606,gene,0,0
ENSG00000225285,FALSE,LINC01770,NCBITaxon:9606,gene,0.0020044212013761364,0.0014995365071460464
ENSG00000179403,FALSE,VWA1,NCBITaxon:9606,gene,0.21462995214232633,0.14095800336197573
